date,China,India
1950.01.01,554419269,376325200
1950.02.01,555710088.9,376829512.1
1950.03.01,557000908.8,377333824.2
1950.04.01,558291728.8,377838136.3
1950.05.01,559582548.7,378342448.3
1950.06.01,560873368.6,378846760.4
1950.07.01,562164188.5,379351072.5
1950.08.01,563455008.4,379855384.6
1950.09.01,564745828.3,380359696.7
1950.10.01,566036648.3,380864008.8
1950.11.01,567327468.2,381368320.8
1950.12.01,568618288.1,381872632.9
1951.01.01,569909108,382376945
1951.02.01,570964723.8,382912122.6
1951.03.01,572020339.5,383447300.2
1951.04.01,573075955.3,383982477.8
1951.05.01,574131571,384517655.3
1951.06.01,575187186.8,385052832.9
1951.07.01,576242802.5,385588010.5
1951.08.01,577298418.3,386123188.1
1951.09.01,578354034,386658365.7
1951.10.01,579409649.8,387193543.3
1951.11.01,580465265.5,387728720.8
1951.12.01,581520881.3,388263898.4
1952.01.01,582576497,388799076
1952.02.01,583475612.4,389361183.4
1952.03.01,584374727.8,389923290.8
1952.04.01,585273843.3,390485398.3
1952.05.01,586172958.7,391047505.7
1952.06.01,587072074.1,391609613.1
1952.07.01,587971189.5,392171720.5
1952.08.01,588870304.9,392733827.9
1952.09.01,589769420.3,393295935.3
1952.10.01,590668535.8,393858042.8
1952.11.01,591567651.2,394420150.2
1952.12.01,592466766.6,394982257.6
1953.01.01,593365882,395544365
1953.02.01,594173084.8,396130550.8
1953.03.01,594980287.7,396716736.5
1953.04.01,595787490.5,397302922.3
1953.05.01,596594693.3,397889108
1953.06.01,597401896.2,398475293.8
1953.07.01,598209099,399061479.5
1953.08.01,599016301.8,399647665.3
1953.09.01,599823504.7,400233851
1953.10.01,600630707.5,400820036.8
1953.11.01,601437910.3,401406222.5
1953.12.01,602245113.2,401992408.3
1954.01.01,603052316,402578594
1954.02.01,603818085.7,403187095
1954.03.01,604583855.3,403795596
1954.04.01,605349625,404404097
1954.05.01,606115394.7,405012598
1954.06.01,606881164.3,405621099
1954.07.01,607646934,406229600
1954.08.01,608412703.7,406838101
